app_id,title,date_release,win,mac,linux,rating,positive_ratio,user_reviews,price_final,price_original,price_discounted,discount,steam_deck,
11190,Sherlock Holmes versus Jack the Ripper,12/23/2009,TRUE,FALSE,FALSE,Mostly Positive,78,792,9.99,9.99,9.99,0,TRUE,
20700,Starscape,11/3/2008,TRUE,FALSE,FALSE,Very Positive,81,80,7.99,7.99,7.99,0,TRUE,
94202,"Jamestown: Gunpowder, Treason, & Plot",11/10/2011,TRUE,TRUE,FALSE,Positive,90,10,2.99,2.99,2.99,0,TRUE,
212673,Tom Clancy's Ghost Recon Future Soldier® - Khyber Strike,2/26/2013,TRUE,FALSE,FALSE,Mixed,60,10,9.99,9.99,9.99,0,TRUE,
222520,Champions of Regnum,2/27/2013,TRUE,TRUE,TRUE,Mixed,67,1098,0,0,0,0,TRUE,
222634,Train Simulator: Union Pacific GP50 Loco Add-On,9/4/2014,TRUE,FALSE,FALSE,Positive,100,10,19.99,19.99,19.99,0,TRUE,
269150,Luxuria Superbia,1/28/2014,TRUE,TRUE,TRUE,Very Positive,85,68,6.99,6.99,6.99,0,TRUE,
279990,Bridge Constructor Playground,7/2/2014,TRUE,TRUE,TRUE,Mostly Positive,74,95,1.99,9.99,1.99,80,TRUE,
289460,RC Cars,4/23/2014,TRUE,FALSE,FALSE,Mostly Positive,78,300,2.99,2.99,2.99,0,TRUE,
333880,Braveland Wizard,12/4/2014,TRUE,TRUE,TRUE,Very Positive,80,342,9.99,9.99,9.99,0,TRUE,
354680,Adventures of Bertram Fiddle 1: A Dreadly Business,4/2/2015,TRUE,TRUE,FALSE,Very Positive,87,378,4.99,4.99,4.99,0,TRUE,
364329,FSX: Steam Edition - WACO YMF5 Add-On,7/14/2015,TRUE,FALSE,FALSE,Positive,87,16,19.99,19.99,19.99,0,TRUE,
385870,Monstrum - Original Soundtrack,7/17/2015,TRUE,TRUE,TRUE,Positive,92,14,4.99,4.99,4.99,0,TRUE,
396350,Bleed 2,2/8/2017,TRUE,TRUE,TRUE,Very Positive,96,454,9.99,9.99,9.99,0,TRUE,
407980,Sakura Beach 2,11/6/2015,TRUE,FALSE,TRUE,Mostly Positive,79,248,9.99,9.99,9.99,0,TRUE,
412050,HordeZ,4/29/2016,TRUE,FALSE,FALSE,Very Positive,83,377,16.99,16.99,16.99,0,TRUE,
415680,Europa Universalis IV: Sabaton Soundtrack,12/1/2015,TRUE,TRUE,TRUE,Very Positive,94,232,2.99,2.99,2.99,0,TRUE,
436070,Nadia Was Here,5/26/2017,TRUE,TRUE,FALSE,Positive,90,31,11.99,11.99,11.99,0,TRUE,
436160,The Panic Room. House of secrets,4/27/2016,TRUE,FALSE,FALSE,Mixed,55,420,0,0,0,0,TRUE,
449360,Momodora: Reverie Under the Moonlight OST,3/4/2016,FALSE,FALSE,FALSE,Very Positive,98,55,1.19,2.99,1.19,60,TRUE,
451010,Kittypocalypse,8/15/2016,TRUE,FALSE,FALSE,Very Positive,88,188,14.99,14.99,14.99,0,TRUE,
487020,Fantasy Mosaics 14: Fourth Color,6/3/2016,TRUE,FALSE,FALSE,Positive,92,25,6.99,6.99,6.99,0,TRUE,
490860,DashBored,6/13/2016,TRUE,FALSE,FALSE,Positive,82,41,4.99,4.99,4.99,0,TRUE,
525910,Cockroach VR,9/8/2016,TRUE,FALSE,FALSE,Positive,94,35,1.99,1.99,1.99,0,TRUE,
570770,古剑奇谭二(GuJian2),9/7/2017,TRUE,FALSE,FALSE,Mostly Positive,77,2266,11.19,15.99,11.19,30,TRUE,
590391,THE KING OF FIGHTERS XIV STEAM EDITION UPGRADE PACK #2,4/12/2018,TRUE,FALSE,FALSE,Positive,88,44,19.99,19.99,19.99,0,TRUE,
603760,Tank Warfare: Longstop Hill,7/18/2017,TRUE,FALSE,FALSE,Positive,93,15,1.49,14.99,1.49,90,TRUE,
719730,Uptasia,1/10/2018,TRUE,FALSE,FALSE,Mixed,60,200,0,0,0,0,TRUE,
778530,The Disappearing of Gensokyo: Patchouli Character Pack,1/17/2018,TRUE,FALSE,FALSE,Very Positive,95,65,0.99,0.99,0.99,0,TRUE,
893020,Slave's Sword 2,2/21/2019,TRUE,FALSE,FALSE,Mixed,67,320,14.99,14.99,14.99,0,TRUE,
920520,Sexy Jigsaw | 性感拼图 | 섹시 퍼즐 | セクシーなパズル,8/24/2018,TRUE,FALSE,FALSE,Very Positive,84,197,3.99,3.99,3.99,0,TRUE,
955370,Weyrwood,11/29/2018,TRUE,TRUE,TRUE,Positive,81,16,5.99,5.99,5.99,0,TRUE,
963680,Clad in Iron: Sakhalin 1904,11/4/2018,TRUE,FALSE,FALSE,Positive,96,26,16.24,24.99,16.24,35,TRUE,
965470,ROGO,12/17/2018,TRUE,FALSE,FALSE,Positive,93,16,1.99,1.99,1.99,0,TRUE,
1029900,Rummy 3D Premium,6/24/2019,TRUE,FALSE,FALSE,Mixed,65,46,8.99,14.99,8.99,40,TRUE,
1049670,The Final Boss,6/13/2019,TRUE,TRUE,FALSE,Very Positive,92,50,4.99,4.99,4.99,0,TRUE,
1089670,The Fisherman - Fishing Planet: Trophy Catch Pack,10/17/2019,TRUE,FALSE,FALSE,Mixed,55,20,4.99,4.99,4.99,0,TRUE,
1220710,Ace In Space,2/14/2020,TRUE,TRUE,FALSE,Positive,89,28,6.99,6.99,6.99,0,TRUE,
1268900,Nearly Dead,9/10/2021,TRUE,FALSE,FALSE,Mixed,56,207,24.99,24.99,24.99,0,TRUE,
1271300,Methods: The Detective Competition,6/1/2020,TRUE,TRUE,TRUE,Very Positive,92,319,19.99,19.99,19.99,0,TRUE,
1345120,CreepWars TD,9/3/2020,TRUE,TRUE,FALSE,Positive,80,15,8.99,8.99,8.99,0,TRUE,
1356222,DJMAX RESPECT V - Lisrim Gear Pack,8/6/2020,TRUE,FALSE,FALSE,Positive,94,36,9.99,9.99,9.99,0,TRUE,
1357070,OMSI 2 Add-On Berlin BRT,8/24/2020,TRUE,FALSE,FALSE,Mixed,60,107,14.99,14.99,14.99,0,TRUE,
1443093,Forza Horizon 4: Car Pass,3/9/2021,TRUE,FALSE,FALSE,Overwhelmingly Positive,97,2002,0,,,0,TRUE,
1451890,Unknown Planet,11/5/2020,TRUE,FALSE,FALSE,Positive,94,18,2.24,2.99,2.24,25,TRUE,
1461630,Magic Potion Millionaire,12/29/2020,TRUE,FALSE,FALSE,Positive,94,19,14.99,14.99,14.99,0,TRUE,
1498590,Fat Prisoner Simulator 3,1/8/2021,TRUE,FALSE,FALSE,Very Positive,87,62,0.49,0.99,0.49,51,TRUE,
1517530,Sparkles & Gems,4/23/2021,TRUE,TRUE,TRUE,Positive,93,15,7.49,14.99,7.49,50,TRUE,
1528050,Underland,2/5/2021,TRUE,FALSE,FALSE,Very Positive,91,95,1.99,1.99,1.99,0,TRUE,
1558880,Zombie Army 4: Undercover Marie Outfit,5/4/2021,TRUE,FALSE,FALSE,Positive,100,11,2.99,2.99,2.99,0,TRUE,
1634990,Mark Out! The Wrestling Card Game,8/26/2021,TRUE,FALSE,FALSE,Positive,95,43,14.99,14.99,14.99,0,TRUE,
1645480,MELTY BLOOD: TYPE LUMINA - Kohaku Round Announcements,9/29/2021,TRUE,FALSE,FALSE,Positive,100,21,2.99,2.99,2.99,0,TRUE,
1675270,Hanoi Puzzles: Flip Match,10/15/2021,TRUE,TRUE,TRUE,Positive,100,17,2.99,2.99,2.99,0,TRUE,
1725620,"Love, Death & Veggies",1/6/2022,TRUE,TRUE,TRUE,Positive,100,27,6.99,6.99,6.99,0,TRUE,
1787320,The Atlas Mystery: A VR Puzzle Game,4/12/2022,TRUE,FALSE,FALSE,Positive,82,29,14.99,14.99,14.99,0,TRUE,
1830840,The Planet Crafter: Prologue,12/19/2021,TRUE,FALSE,FALSE,Overwhelmingly Positive,96,8365,0,0,0,0,TRUE,
1902490,Aperture Desk Job,3/1/2022,TRUE,FALSE,TRUE,Overwhelmingly Positive,95,18179,0,0,0,0,TRUE,
1943370,Invercity,11/9/2022,TRUE,FALSE,FALSE,Positive,100,20,14.99,14.99,14.99,0,TRUE,
1949476,Forza Horizon 5 2018 Audi RS 5,6/9/2022,TRUE,FALSE,FALSE,Mostly Positive,75,12,2.99,2.99,2.99,0,TRUE,
2063550,Japanese TeTris,7/29/2022,TRUE,FALSE,FALSE,Positive,83,12,0.99,9.99,0.99,90,TRUE,
2173670,Aery VR - Calm Mind,12/19/2022,TRUE,FALSE,FALSE,Positive,100,30,9.99,9.99,9.99,0,TRUE,
35138,Lara Croft GoL: Hazardous Reunion - Challenge Pack 3,1/7/2011,TRUE,FALSE,FALSE,Mostly Positive,78,23,3.49,3.49,3.49,0,TRUE,
200490,Memento Mori,11/9/2012,TRUE,FALSE,FALSE,Mixed,66,157,2.59,12.99,2.59,80,TRUE,
209950,Triple Town,12/6/2012,TRUE,TRUE,FALSE,Very Positive,92,533,9.99,9.99,9.99,0,TRUE,
230410,Warframe,3/25/2013,TRUE,FALSE,FALSE,Very Positive,87,518191,0,0,0,0,TRUE,
303800,The Witcher Adventure Game,11/27/2014,TRUE,TRUE,FALSE,Mostly Positive,77,1078,9.99,9.99,9.99,0,TRUE,
318330,Mecha Ace,12/5/2014,TRUE,TRUE,TRUE,Very Positive,87,138,5.99,5.99,5.99,0,TRUE,
318710,NARUTO SHIPPUDEN: Ultimate Ninja STORM Revolution - DLC10 Reanimation-Before Death Pack,10/28/2014,TRUE,FALSE,FALSE,Positive,82,28,1.99,1.99,1.99,0,TRUE,
319970,The Detail,10/28/2014,TRUE,TRUE,TRUE,Mostly Positive,72,437,2.99,2.99,2.99,0,TRUE,
325961,Train Simulator: BR Class 58 Loco Add-On,3/11/2016,TRUE,FALSE,FALSE,Positive,80,10,19.99,19.99,19.99,0,TRUE,
328550,Thieves' Gambit: The Curse of the Black Cat,10/17/2014,TRUE,TRUE,TRUE,Positive,82,28,4.99,4.99,4.99,0,TRUE,
328940,The Deer God,2/27/2015,TRUE,TRUE,TRUE,Mixed,60,213,14.99,14.99,14.99,0,TRUE,
338390,The Technomancer,6/28/2016,TRUE,FALSE,FALSE,Mixed,68,1912,9.99,9.99,9.99,0,TRUE,
